merged_id,game_title,game_id,vgsales_rank,platform,genre,publisher,release_year,rating,global_sales,plays,wishlist,merge_date
763,Silent Hill 2,NULL,1551,ps2,action,konami digital entertainment,2001,4.5,1.28,8600,2100,04-10-2025
764,Silent Hill 2: Restless Dreams,NULL,6203,xb,action,konami digital entertainment,2001,4.5,0.28,514000,81000,04-10-2025
765,Silent Hill 3,NULL,2875,ps2,action,konami digital entertainment,2003,4.2,0.71,4900,1400,04-10-2025
766,Sin and Punishment,NULL,9481,n64,shooter,nintendo,2000,4,0.13,1100,550000,04-10-2025
767,Skate 3,NULL,560,x360,sports,electronic arts,2010,4,2.68,4100,188000,04-10-2025
768,Skate 3,NULL,809,ps3,sports,electronic arts,2010,4,2.08,4100,188000,04-10-2025
769,Sly Cooper and the Thievius Raccoonus,NULL,1657,ps2,platform,sony computer entertainment,2002,3.7,1.21,3700,391000,04-10-2025
770,Sonic Advance,NULL,722,gba,platform,sega,2001,3.2,2.24,4000,212000,04-10-2025
771,Sonic Adventure 2,NULL,9844,dc,platform,sega,2001,3.6,0.12,5100,342000,04-10-2025
772,Sonic and the Secret Rings,NULL,543,wii,platform,sega,2007,1.9,2.77,3100,160000,04-10-2025
773,Sonic and the Secret Rings,NULL,543,wii,platform,sega,2007,1.9,2.77,3100,160000,04-10-2025
774,Sonic CD,NULL,1263,scd,platform,sega,1993,3.4,1.5,4900,223000,04-10-2025
775,Sonic Colors,NULL,1021,wii,platform,sega,2010,3.4,1.74,5100,342000,04-10-2025
776,Sonic Colors,NULL,1420,ds,platform,sega,2010,3.4,1.37,5100,342000,04-10-2025
777,Sonic Colors,NULL,1021,wii,platform,sega,2010,3.4,1.74,5100,342000,04-10-2025
778,Sonic Colors,NULL,1420,ds,platform,sega,2010,3.4,1.37,5100,342000,04-10-2025
779,Sonic Generations,NULL,10268,pc,platform,sega,2011,3.8,0.11,9900,480000,04-10-2025
780,Sonic Generations,NULL,2046,3ds,platform,sega,2011,3.8,1.01,9900,480000,04-10-2025
781,Sonic Generations,NULL,1129,ps3,platform,sega,2011,3.8,1.63,9900,480000,04-10-2025
782,Sonic Generations,NULL,1361,x360,platform,sega,2011,3.8,1.42,9900,480000,04-10-2025
783,Sonic Lost World,NULL,4858,wiiu,platform,sega,2013,2.5,0.4,2500,214000,04-10-2025
784,Sonic Lost World,NULL,4034,3ds,platform,sega,2013,2.5,0.49,2500,214000,04-10-2025
785,Sonic Rush,NULL,438,ds,platform,sega,2005,3.6,3.15,4600,292000,04-10-2025
786,Sonic Rush Adventure,NULL,1726,ds,platform,sega,2007,3.5,1.17,1900,208000,04-10-2025
787,Sonic the Hedgehog,NULL,255,gen,platform,sega,1991,3.1,4.34,12000,243000,04-10-2025
788,Sonic the Hedgehog,NULL,255,gen,platform,sega,1991,3.1,4.34,12000,243000,04-10-2025
789,Sonic the Hedgehog,NULL,255,gen,platform,sega,1991,3.1,4.34,12000,243000,04-10-2025
790,Sonic the Hedgehog 2,NULL,144,gen,platform,sega,1992,2.8,6.03,1400,45000,04-10-2025
791,Sonic the Hedgehog 2,NULL,144,gen,platform,sega,1992,3.7,6.03,10000,228000,04-10-2025
792,Sonic Unleashed,NULL,2016,ps3,platform,sega,2008,3.3,1.03,6500,476000,04-10-2025
793,Sonic Unleashed,NULL,2688,ps2,platform,sega,2008,3.3,0.76,6500,476000,04-10-2025
794,Sonic Unleashed,NULL,2161,x360,platform,sega,2008,3.3,0.96,6500,476000,04-10-2025
795,Sonic Unleashed,NULL,740,wii,platform,sega,2008,3.3,2.2,6500,476000,04-10-2025
796,Splatoon,NULL,236,wiiu,shooter,nintendo,2015,3.7,4.57,6100,227000,04-10-2025
797,SpongeBob SquarePants: Battle For Bikini Bottom,NULL,1098,ps2,platform,thq,2003,3.8,1.67,3400,216000,04-10-2025
798,SpongeBob SquarePants: Battle For Bikini Bottom,NULL,3547,xb,platform,thq,2003,3.8,0.57,3400,216000,04-10-2025
799,SpongeBob SquarePants: Battle For Bikini Bottom,NULL,1623,gba,platform,thq,2003,3.8,1.23,3400,216000,04-10-2025
800,SpongeBob SquarePants: Battle For Bikini Bottom,NULL,2178,gc,platform,thq,2003,3.8,0.95,3400,216000,04-10-2025
801,Spore,NULL,1719,pc,strategy,electronic arts,2008,3.3,1.17,6000,170000,04-10-2025
802,Star Wars: Battlefront,NULL,7613,pc,shooter,lucasarts,2004,3.5,0.2,4100,109000,04-10-2025
803,Star Wars: Battlefront,NULL,1007,xb,shooter,activision,2004,3.5,1.75,4100,109000,04-10-2025
804,Star Wars: Battlefront,NULL,353,ps2,shooter,lucasarts,2004,3.5,3.61,4100,109000,04-10-2025
805,Star Wars: Battlefront II,NULL,1629,psp,shooter,lucasarts,2005,4,1.23,7700,189000,04-10-2025
806,Star Wars: Battlefront II,NULL,8188,pc,shooter,lucasarts,2005,4,0.18,7700,189000,04-10-2025
807,Star Wars: Battlefront II,NULL,358,ps2,shooter,lucasarts,2005,4,3.59,7700,189000,04-10-2025
808,Star Wars: Battlefront II,NULL,1090,xb,shooter,activision,2005,4,1.67,7700,189000,04-10-2025
809,Star Wars: Knights of the Old Republic,NULL,9078,pc,role-playing,lucasarts,2003,4.2,0.14,5300,705000,04-10-2025
810,Star Wars: Knights of the Old Republic,NULL,744,xb,role-playing,activision,2003,4.2,2.19,5300,705000,04-10-2025
811,Star Wars: Knights of the Old Republic,NULL,9078,pc,role-playing,lucasarts,2003,4.2,0.14,5300,705000,04-10-2025
812,Star Wars: Knights of the Old Republic,NULL,744,xb,role-playing,activision,2003,4.2,2.19,5300,705000,04-10-2025
813,Star Wars: The Force Unleashed,NULL,704,ps3,action,lucasarts,2008,3.2,2.28,7400,350000,04-10-2025
814,Star Wars: The Force Unleashed,NULL,526,x360,action,lucasarts,2008,3.2,2.8,7400,350000,04-10-2025
815,Star Wars: The Force Unleashed,NULL,1872,psp,action,lucasarts,2008,3.2,1.09,7400,350000,04-10-2025
816,Star Wars: The Force Unleashed,NULL,1586,ps2,action,lucasarts,2008,3.2,1.25,7400,350000,04-10-2025
817,Star Wars: The Force Unleashed,NULL,905,wii,action,lucasarts,2008,3.2,1.91,7400,350000,04-10-2025
818,Star Wars: The Force Unleashed,NULL,2312,ds,action,lucasarts,2008,3.2,0.9,7400,350000,04-10-2025
819,Star Wars: The Force Unleashed II,NULL,6975,ds,action,lucasarts,2010,2.8,0.23,4100,268000,04-10-2025
820,Star Wars: The Force Unleashed II,NULL,1205,ps3,action,lucasarts,2010,2.8,1.55,4100,268000,04-10-2025
821,Star Wars: The Force Unleashed II,NULL,1295,x360,action,lucasarts,2010,2.8,1.47,4100,268000,04-10-2025
822,Star Wars: The Force Unleashed II,NULL,2590,wii,action,lucasarts,2010,2.8,0.8,4100,268000,04-10-2025
823,Star Wars: The Force Unleashed II,NULL,14532,pc,action,lucasarts,2010,2.8,0.03,4100,268000,04-10-2025
824,Street Fighter V,NULL,2513,ps4,fighting,capcom,2016,3,0.82,5000,166000,04-10-2025
825,Street Fighter V,NULL,13046,pc,fighting,capcom,2016,3,0.05,5000,166000,04-10-2025
826,Suikoden,NULL,3354,ps,role-playing,konami digital entertainment,1995,3.6,0.6,933000,360000,04-10-2025
827,Suikoden II,NULL,2995,ps,role-playing,konami digital entertainment,1998,4.4,0.68,1100,653000,04-10-2025
828,Sunset Overdrive,NULL,1838,xone,shooter,microsoft game studios,2014,3.5,1.11,3600,459000,04-10-2025
829,Super Castlevania IV,NULL,3206,snes,platform,konami digital entertainment,1991,3.7,0.63,3700,271000,04-10-2025
830,Super Mario 3D Land,NULL,54,3ds,platform,nintendo,2011,3.5,10.79,12000,461000,04-10-2025
831,Super Mario 3D World,NULL,262,wiiu,platform,nintendo,2013,3.9,4.25,9600,432000,04-10-2025
